"産業中分類，従業者規模","事業所数","事業所数_他への出向・派遣 _有","事業所数_他への出向・派遣 _無","事業所数_他からの出向・派遣 (注2)_出向又は派遣_有 ","事業所数_他からの出向・派遣 (注2)_出向又は派遣_無","事業所数_他からの出向・派遣 (注2)_出向_有","事業所数_他からの出向・派遣 (注2)_出向_無","事業所数_他からの出向・派遣 (注2)_派遣_有","事業所数_他からの出向・派遣 (注2)_派遣_無","従業者数(人) ","従業者数(人) _男","従業者数(人) _女","従業者数(人) _うち他への出向・派遣従業者数","従業者数(人) _うち他への出向・派遣従業者数_男","従業者数(人) _うち他への出向・派遣従業者数_女","他からの出向・派遣従業者数","他からの出向・派遣従業者数_男 ","他からの出向・派遣従業者数_女 ","他からの出向・派遣従業者数_出向 ","他からの出向・派遣従業者数_出向 _男","他からの出向・派遣従業者数_出向 _女","他からの出向・派遣従業者数_派遣 ","他からの出向・派遣従業者数_派遣 _男","他からの出向・派遣従業者数_派遣 _女"
"A～R 全産業(S公務を除く)__","49196.0","366.0","48830.0","1360.0","47836.0","807.0","48389.0","573.0","48623.0","376733.0","200712.0","175518.0","2730.0","1879.0","851.0","7815.0","4316.0","3494.0","3717.0","2280.0","1433.0","3814.0","1839.0","1974.0"
"　A～B 農林漁業__","238.0","2.0","236.0","12.0","226.0","8.0","230.0","3.0","235.0","2919.0","2088.0","831.0","3.0","3.0","-","27.0","20.0","7.0","15.0","10.0","5.0","6.0","4.0","2.0"
"　A～B 農林漁業_　　A 農業，林業_","177.0","2.0","175.0","9.0","168.0","6.0","171.0","2.0","175.0","2302.0","1616.0","686.0","3.0","3.0","-","18.0","11.0","7.0","10.0","5.0","5.0","2.0","-","2.0"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業","127.0","-","127.0","8.0","119.0","5.0","122.0","2.0","125.0","1510.0","875.0","635.0","-","-","-","17.0","10.0","7.0","9.0","4.0","5.0","2.0","-","2.0"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業","50.0","2.0","48.0","1.0","49.0","1.0","49.0","-","50.0","792.0","741.0","51.0","3.0","3.0","-","1.0","1.0","-","1.0","1.0","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_","54.0","-","54.0","3.0","51.0","2.0","52.0","1.0","53.0","599.0","462.0","137.0","-","-","-","9.0","9.0","-","5.0","5.0","-","4.0","4.0","-"
"　A～B 農林漁業_　　B 漁業_　　　03 漁業(水産養殖業を除く)","15.0","-","15.0","1.0","14.0","-","15.0","1.0","14.0","218.0","181.0","37.0","-","-","-","4.0","4.0","-","-","-","-","4.0","4.0","-"
"　A～B 農林漁業_　　B 漁業_　　　04 水産養殖業","39.0","-","39.0","2.0","37.0","2.0","37.0","-","39.0","381.0","281.0","100.0","-","-","-","5.0","5.0","-","5.0","5.0","-","-","-","-"
"　A～B 農林漁業_　　@ 農業，林業，漁業 間格付不能_","7.0","-","7.0","-","7.0","-","7.0","-","7.0","18.0","10.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　　@Z 農業，林業，漁業 間格付不能_","7.0","-","7.0","-","7.0","-","7.0","-","7.0","18.0","10.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)__","48958.0","364.0","48594.0","1348.0","47610.0","799.0","48159.0","570.0","48388.0","373814.0","198624.0","174687.0","2727.0","1876.0","851.0","7788.0","4296.0","3487.0","3702.0","2270.0","1428.0","3808.0","1835.0","1972.0"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_","9.0","-","9.0","-","9.0","-","9.0","-","9.0","105.0","90.0","15.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業","9.0","-","9.0","-","9.0","-","9.0","-","9.0","105.0","90.0","15.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_","4680.0","40.0","4640.0","106.0","4574.0","67.0","4613.0","48.0","4632.0","28575.0","23415.0","5160.0","324.0","268.0","56.0","437.0","346.0","91.0","218.0","207.0","11.0","209.0","130.0","79.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業","2294.0","23.0","2271.0","49.0","2245.0","30.0","2264.0","23.0","2271.0","15366.0","12356.0","3010.0","39.0","33.0","6.0","122.0","96.0","26.0","61.0","56.0","5.0","60.0","40.0","20.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)","1271.0","2.0","1269.0","17.0","1254.0","10.0","1261.0","5.0","1266.0","4857.0","4016.0","841.0","5.0","5.0","-","63.0","61.0","2.0","41.0","40.0","1.0","13.0","12.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業","1051.0","14.0","1037.0","39.0","1012.0","26.0","1025.0","20.0","1031.0","8065.0","6834.0","1231.0","279.0","230.0","49.0","250.0","187.0","63.0","114.0","109.0","5.0","136.0","78.0","58.0"
"　C～R 非農林漁業(S公務を除く)_　　　DZ 建設業 内格付不能_","64.0","1.0","63.0","1.0","63.0","1.0","63.0","-","64.0","287.0","209.0","78.0","1.0","-","1.0","2.0","2.0","-","2.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_","4334.0","64.0","4270.0","203.0","4131.0","105.0","4229.0","113.0","4221.0","63482.0","42994.0","20488.0","442.0","318.0","124.0","1768.0","1195.0","573.0","604.0","442.0","162.0","1120.0","723.0","397.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業","781.0","8.0","773.0","27.0","754.0","11.0","770.0","15.0","766.0","11142.0","4634.0","6508.0","42.0","13.0","29.0","237.0","52.0","185.0","131.0","23.0","108.0","92.0","22.0","70.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業","64.0","1.0","63.0","4.0","60.0","3.0","61.0","2.0","62.0","1450.0","1081.0","369.0","9.0","5.0","4.0","21.0","19.0","2.0","7.0","7.0","-","14.0","12.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業","719.0","7.0","712.0","11.0","708.0","7.0","712.0","4.0","715.0","6134.0","3044.0","3090.0","30.0","16.0","14.0","38.0","27.0","11.0","32.0","24.0","8.0","6.0","3.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)","293.0","-","293.0","7.0","286.0","3.0","290.0","4.0","289.0","1918.0","1438.0","480.0","-","-","-","47.0","42.0","5.0","39.0","35.0","4.0","8.0","7.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業","386.0","-","386.0","5.0","381.0","3.0","383.0","1.0","385.0","2138.0","1530.0","608.0","-","-","-","17.0","15.0","2.0","12.0","12.0","-","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業","63.0","-","63.0","3.0","60.0","3.0","60.0","1.0","62.0","881.0","585.0","296.0","-","-","-","9.0","8.0","1.0","6.0","6.0","-","3.0","2.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業","215.0","-","215.0","-","215.0","-","215.0","-","215.0","2011.0","1351.0","660.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業","113.0","9.0","104.0","15.0","98.0","10.0","103.0","8.0","105.0","5663.0","4268.0","1395.0","31.0","18.0","13.0","259.0","159.0","100.0","34.0","31.0","3.0","225.0","128.0","97.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業","22.0","3.0","19.0","8.0","14.0","7.0","15.0","5.0","17.0","1036.0","956.0","80.0","7.0","7.0","-","94.0","62.0","32.0","55.0","51.0","4.0","39.0","11.0","28.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)","146.0","1.0","145.0","7.0","139.0","3.0","143.0","3.0","143.0","2508.0","1509.0","999.0","2.0","2.0","-","19.0","19.0","-","8.0","8.0","-","9.0","9.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業","25.0","1.0","24.0","3.0","22.0","1.0","24.0","3.0","22.0","1187.0","729.0","458.0","2.0","2.0","-","19.0","15.0","4.0","1.0","1.0","-","18.0","14.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業","27.0","-","27.0","-","27.0","-","27.0","-","27.0","191.0","109.0","82.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業","152.0","5.0","147.0","20.0","132.0","14.0","138.0","7.0","145.0","1768.0","1482.0","286.0","15.0","13.0","2.0","68.0","61.0","7.0","58.0","53.0","5.0","10.0","8.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業","82.0","5.0","77.0","12.0","70.0","6.0","76.0","8.0","74.0","4629.0","4398.0","231.0","52.0","47.0","5.0","172.0","124.0","48.0","30.0","14.0","16.0","130.0","98.0","32.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業","22.0","2.0","20.0","4.0","18.0","4.0","18.0","2.0","20.0","629.0","514.0","115.0","6.0","6.0","-","45.0","33.0","12.0","29.0","28.0","1.0","16.0","5.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業","339.0","5.0","334.0","24.0","315.0","11.0","328.0","13.0","326.0","4662.0","3880.0","782.0","32.0","29.0","3.0","143.0","130.0","13.0","63.0","63.0","-","77.0","64.0","13.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業","93.0","2.0","91.0","13.0","80.0","4.0","89.0","11.0","82.0","2580.0","2154.0","426.0","50.0","47.0","3.0","275.0","230.0","45.0","59.0","52.0","7.0","216.0","178.0","38.0"
