"産業大分類・県，市町村","事業所数","従業者数（注）","従業者数（注）_男","従業者数（注）_女"
"和歌山県_A～R 全産業(S公務を除く)","49196.0","376733.0","200712.0","175518.0"
"和歌山県_　A～B 農林漁業","238.0","2919.0","2088.0","831.0"
"和歌山県_　　A 農業，林業","177.0","2302.0","1616.0","686.0"
"和歌山県_　　B 漁業","54.0","599.0","462.0","137.0"
"和歌山県_　　@ 農業，林業，漁業 間格付不能","7.0","18.0","10.0","8.0"
"和歌山県_　C～R 非農林漁業(S公務を除く)","48958.0","373814.0","198624.0","174687.0"
"和歌山県_　　C 鉱業，採石業，砂利採取業","9.0","105.0","90.0","15.0"
"和歌山県_　　D 建設業","4680.0","28575.0","23415.0","5160.0"
"和歌山県_　　E 製造業","4334.0","63482.0","42994.0","20488.0"
"和歌山県_　　F 電気・ガス・熱供給・水道業","37.0","1625.0","1539.0","86.0"
"和歌山県_　　G 情報通信業","267.0","3291.0","1823.0","1378.0"
"和歌山県_　　H 運輸業，郵便業","981.0","20201.0","16946.0","3255.0"
"和歌山県_　　I 卸売業，小売業","13910.0","84766.0","40247.0","44411.0"
"和歌山県_　　J 金融業，保険業","771.0","10507.0","4579.0","5928.0"
"和歌山県_　　K 不動産業，物品賃貸業","3018.0","7942.0","4572.0","3365.0"
"和歌山県_　　L 学術研究，専門・技術サービス業","1461.0","7294.0","4802.0","2485.0"
"和歌山県_　　M 宿泊業，飲食サービス業","5927.0","37377.0","13337.0","23755.0"
"和歌山県_　　N 生活関連サービス業，娯楽業","4458.0","17230.0","7413.0","9815.0"
"和歌山県_　　O 教育，学習支援業","1535.0","11081.0","5226.0","5849.0"
"和歌山県_　　P 医療，福祉","3398.0","52474.0","14216.0","38258.0"
"和歌山県_　　Q 複合サービス事業","471.0","4482.0","2739.0","1743.0"
"和歌山県_　　R サービス業(他に分類されないもの)","3701.0","23382.0","14686.0","8696.0"
"和歌山市_A～R 全産業(S公務を除く)","16441.0","160120.0","87376.0","72579.0"
"和歌山市_　A～B 農林漁業","19.0","340.0","178.0","162.0"
"和歌山市_　　A 農業，林業","12.0","289.0","154.0","135.0"
"和歌山市_　　B 漁業","7.0","51.0","24.0","27.0"
"和歌山市_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"和歌山市_　C～R 非農林漁業(S公務を除く)","16422.0","159780.0","87198.0","72417.0"
"和歌山市_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"和歌山市_　　D 建設業","1233.0","11252.0","9118.0","2134.0"
"和歌山市_　　E 製造業","1480.0","27252.0","20085.0","7167.0"
"和歌山市_　　F 電気・ガス・熱供給・水道業","10.0","767.0","716.0","51.0"
"和歌山市_　　G 情報通信業","135.0","2297.0","1285.0","1012.0"
"和歌山市_　　H 運輸業，郵便業","353.0","9653.0","8043.0","1610.0"
"和歌山市_　　I 卸売業，小売業","4483.0","33948.0","16768.0","17146.0"
"和歌山市_　　J 金融業，保険業","334.0","5786.0","2618.0","3168.0"
"和歌山市_　　K 不動産業，物品賃貸業","1336.0","4148.0","2342.0","1801.0"
"和歌山市_　　L 学術研究，専門・技術サービス業","619.0","3550.0","2215.0","1328.0"
"和歌山市_　　M 宿泊業，飲食サービス業","1776.0","14275.0","5098.0","9064.0"
"和歌山市_　　N 生活関連サービス業，娯楽業","1411.0","6334.0","2575.0","3759.0"
"和歌山市_　　O 教育，学習支援業","478.0","6231.0","2850.0","3375.0"
"和歌山市_　　P 医療，福祉","1336.0","22485.0","6042.0","16443.0"
"和歌山市_　　Q 複合サービス事業","117.0","947.0","520.0","427.0"
"和歌山市_　　R サービス業(他に分類されないもの)","1321.0","10855.0","6923.0","3932.0"
"海南市_A～R 全産業(S公務を除く)","2895.0","22364.0","12607.0","9732.0"
"海南市_　A～B 農林漁業","8.0","39.0","30.0","9.0"
"海南市_　　A 農業，林業","4.0","31.0","26.0","5.0"
"海南市_　　B 漁業","-","-","-","-"
"海南市_　　@ 農業，林業，漁業 間格付不能","4.0","8.0","4.0","4.0"
"海南市_　C～R 非農林漁業(S公務を除く)","2887.0","22325.0","12577.0","9723.0"
"海南市_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"海南市_　　D 建設業","210.0","1352.0","1119.0","233.0"
"海南市_　　E 製造業","404.0","5892.0","4150.0","1742.0"
"海南市_　　F 電気・ガス・熱供給・水道業","1.0","171.0","169.0","2.0"
"海南市_　　G 情報通信業","15.0","79.0","58.0","21.0"
"海南市_　　H 運輸業，郵便業","72.0","1359.0","1175.0","184.0"
"海南市_　　I 卸売業，小売業","856.0","5247.0","2512.0","2735.0"
"海南市_　　J 金融業，保険業","38.0","545.0","272.0","273.0"
"海南市_　　K 不動産業，物品賃貸業","188.0","420.0","234.0","186.0"
"海南市_　　L 学術研究，専門・技術サービス業","84.0","585.0","387.0","198.0"
"海南市_　　M 宿泊業，飲食サービス業","263.0","1291.0","477.0","789.0"
"海南市_　　N 生活関連サービス業，娯楽業","239.0","699.0","274.0","425.0"
"海南市_　　O 教育，学習支援業","74.0","356.0","186.0","170.0"
"海南市_　　P 医療，福祉","208.0","3060.0","762.0","2298.0"
"海南市_　　Q 複合サービス事業","19.0","142.0","76.0","66.0"
"海南市_　　R サービス業(他に分類されないもの)","216.0","1127.0","726.0","401.0"
"橋本市_A～R 全産業(S公務を除く)","2619.0","18037.0","8415.0","9568.0"
"橋本市_　A～B 農林漁業","6.0","32.0","24.0","8.0"
"橋本市_　　A 農業，林業","6.0","32.0","24.0","8.0"
"橋本市_　　B 漁業","-","-","-","-"
"橋本市_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"橋本市_　C～R 非農林漁業(S公務を除く)","2613.0","18005.0","8391.0","9560.0"
"橋本市_　　C 鉱業，採石業，砂利採取業","1.0","13.0","11.0","2.0"
"橋本市_　　D 建設業","187.0","899.0","700.0","199.0"
"橋本市_　　E 製造業","322.0","2287.0","1341.0","946.0"
"橋本市_　　F 電気・ガス・熱供給・水道業","3.0","101.0","96.0","5.0"
"橋本市_　　G 情報通信業","13.0","37.0","16.0","21.0"
"橋本市_　　H 運輸業，郵便業","39.0","893.0","786.0","107.0"
"橋本市_　　I 卸売業，小売業","720.0","4435.0","1803.0","2623.0"
