"産業中分類","総数(経営組織)事業所数","総数(経営組織)従業者数 (注)","総数(経営組織)従業者数 (注)_男","総数(経営組織)従業者数 (注)_女","総数(経営組織)従業者数 (注)_個人業主 (注)","総数(経営組織)従業者数 (注)_個人業主 (注)_男","総数(経営組織)従業者数 (注)_個人業主 (注)_女","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_男","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_女","総数(経営組織)従業者数 (注)_有給役員(注)","総数(経営組織)従業者数 (注)_有給役員(注)_男","総数(経営組織)従業者数 (注)_有給役員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)_男","総数(経営組織)従業者数 (注)_正社員・正職員(注)_正社員・正職員以外 (注)_女","総数(経営組織)従業者数 (注)_臨時雇用者 (注)","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_男","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_個人業主 (注)","個人_従業者数(注)_個人業主 (注)_男","個人_従業者数(注)_個人業主 (注)_女","個人_従業者数(注)_無給の家族従業者(注)","個人_従業者数(注)_無給の家族従業者(注)_男","個人_従業者数(注)_無給の家族従業者(注)_女","個人_従業者数(注)_常用雇用者(注)","個人_従業者数(注)_常用雇用者(注)_男","個人_従業者数(注)_常用雇用者(注)_女","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_男","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_女","個人_従業者数(注)_臨時雇用者(注)","個人_従業者数(注)_臨時雇用者(注)_男","個人_従業者数(注)_臨時雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_有給役員(注)","法人_従業者数(注)_有給役員(注)_男","法人_従業者数(注)_有給役員(注)_女","法人_従業者数(注)_常用雇用者 (注)","法人_従業者数(注)_常用雇用者 (注)_男","法人_従業者数(注)_常用雇用者 (注)_女","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人_従業者数(注)_臨時雇用者(注)","法人_従業者数(注)_臨時雇用者(注)_男","法人_従業者数(注)_臨時雇用者(注)_女","会社_事業所数","会社_従業者数(注)","会社_従業者数(注)_男","会社_従業者数(注)_女","会社_従業者数(注)_有給役員(注)","会社_従業者数(注)_有給役員(注)_男","会社_従業者数(注)_有給役員(注)_女","会社_従業者数(注)_常用雇用者 (注)","会社_従業者数(注)_常用雇用者 (注)_男","会社_従業者数(注)_常用雇用者 (注)_女","会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社_従業者数(注)_臨時雇用者(注)","会社_従業者数(注)_臨時雇用者(注)_男","会社_従業者数(注)_臨時雇用者(注)_女","株式・有限・相互会社_事業所数","株式・有限・相互会社_従業者数(注)","株式・有限・相互会社_従業者数(注)_男","株式・有限・相互会社_従業者数(注)_女","株式・有限・相互会社_従業者数(注)_有給役員(注)","株式・有限・相互会社_従業者数(注)_有給役員(注)_男","株式・有限・相互会社_従業者数(注)_有給役員(注)_女","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_男","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_女","株式・有限・相互会社_常用雇用者 (注)_従業者数(注)うち正社員・正職員 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","株式・有限・相互会社_従業者数(注)常用雇用者 (注)うち正社員・正職員 (注)_女","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_男","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_女","合名・合資会社_事業所数","合名・合資会社_従業者数(注)","合名・合資会社_従業者数(注)_男","合名・合資会社_従業者数(注)_女","株合名・合資会社_従業者数(注)_有給役員(注)","合名・合資会社_従業者数(注)_有給役員(注)_男","合名・合資会社_従業者数(注)_有給役員(注)_女","合名・合資会社_従業者数(注)_常用雇用者 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_女","合名・合資会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合名・合資会社_従業者数(注)_臨時雇用者(注)","合名・合資会社_従業者数(注)_臨時雇用者(注)_男","合名・合資会社_従業者数(注)_臨時雇用者(注)_女","合同会社_事業所数","合同会社_従業者数(注)","合同会社_従業者数(注)_男","合同会社_従業者数(注)_女","合同会社_従業者数(注)_有給役員(注)","合同会社_従業者数(注)_有給役員(注)_男","合同会社_従業者数(注)_有給役員(注)_女","合同会社_従業者数(注)_常用雇用者 (注)","合同会社_従業者数(注)_常用雇用者 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_女","合同会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合同会社_従業者数(注)_臨時雇用者(注)","合同会社_従業者数(注)_臨時雇用者(注)_男","合同会社_従業者数(注)_臨時雇用者(注)_女","外国の会社_事業所数","外国の会社_従業者数(注)","外国の会社_従業者数(注)_男","外国の会社_従業者数(注)_女","外国の会社_従業者数(注)_有給役員(注)","外国の会社_従業者数(注)_有給役員(注)_男","外国の会社_従業者数(注)_有給役員(注)_女","外国の会社_従業者数(注)_常用雇用者 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_女","外国の会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","外国の会社_従業者数(注)_臨時雇用者(注)","外国の会社_従業者数(注)_臨時雇用者(注)_男","外国の会社_従業者数(注)_臨時雇用者(注)_女","会社以外の法人_事業所数","会社以外の法人_従業者数(注)","会社以外の法人_従業者数(注)_男","会社以外の法人_従業者数(注)_女","会社以外の法人_従業者数(注)_有給役員(注)","会社以外の法人_従業者数(注)_有給役員(注)_男","会社以外の法人_従業者数(注)_有給役員(注)_女","会社以外の法人_従業者数(注)_常用雇用者 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_女","会社以外の法人_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社以外の法人_従業者数(注)_臨時雇用者(注)","会社以外の法人_従業者数(注)_臨時雇用者(注)_男","会社以外の法人_従業者数(注)_臨時雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_有給役員(注)","法人でない団体_従業者数(注)_有給役員(注)_男","法人でない団体_従業者数(注)_有給役員(注)_女","法人でない団体_従業者数(注)_常用雇用者 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_女","法人でない団体_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人でない団体_従業者数(注)_臨時雇用者(注)","法人でない団体_従業者数(注)_臨時雇用者(注)_男","法人でない団体_従業者数(注)_臨時雇用者(注)_女"
"A～R 全産業(S公務を除く)__","49196.0","376733.0","200712.0","175518.0","27330.0","19746.0","7580.0","10065.0","2005.0","8060.0","26900.0","18657.0","8241.0","289024.0","150440.0","138177.0","173359.0","115929.0","57400.0","115665.0","34511.0","80777.0","23414.0","9864.0","13460.0","27879.0","81007.0","37591.0","43401.0","27330.0","19746.0","7580.0","10065.0","2005.0","8060.0","36676.0","13188.0","23477.0","17678.0","8333.0","9334.0","6936.0","2652.0","4284.0","21053.0","294518.0","162603.0","131427.0","26723.0","18509.0","8212.0","251570.0","136965.0","114209.0","155288.0","107409.0","47860.0","16225.0","7129.0","9006.0","16912.0","232392.0","137927.0","93979.0","21754.0","14652.0","7100.0","198582.0","117631.0","80557.0","119714.0","92241.0","27456.0","12056.0","5644.0","6322.0","16784.0","231413.0","137410.0","93517.0","21575.0","14544.0","7029.0","197933.0","117285.0","80254.0","119363.0","92008.0","27338.0","11905.0","5581.0","6234.0","88.0","516.0","296.0","220.0","140.0","84.0","56.0","345.0","192.0","153.0","150.0","98.0","52.0","31.0","20.0","11.0","36.0","385.0","154.0","231.0","39.0","24.0","15.0","226.0","87.0","139.0","124.0","68.0","56.0","120.0","43.0","77.0","4.0","78.0","67.0","11.0","-","-","-","78.0","67.0","11.0","77.0","67.0","10.0","-","-","-","4141.0","62126.0","24676.0","37448.0","4969.0","3857.0","1112.0","52988.0","19334.0","33652.0","35574.0","15168.0","20404.0","4169.0","1485.0","2684.0","264.0","1208.0","518.0","690.0","177.0","148.0","29.0","778.0","287.0","491.0","393.0","187.0","206.0","253.0","83.0","170.0"
"　A～B 農林漁業__","238.0","2919.0","2088.0","831.0","-","-","-","-","-","-","706.0","652.0","54.0","1684.0","1136.0","548.0","993.0","839.0","154.0","691.0","297.0","394.0","529.0","300.0","229.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","229.0","2790.0","2007.0","783.0","697.0","643.0","54.0","1638.0","1097.0","541.0","967.0","817.0","150.0","455.0","267.0","188.0","114.0","1237.0","687.0","550.0","171.0","132.0","39.0","858.0","479.0","379.0","428.0","353.0","75.0","208.0","76.0","132.0","113.0","1232.0","683.0","549.0","170.0","131.0","39.0","854.0","476.0","378.0","425.0","350.0","75.0","208.0","76.0","132.0","1.0","5.0","4.0","1.0","1.0","1.0","-","4.0","3.0","1.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","115.0","1553.0","1320.0","233.0","526.0","511.0","15.0","780.0","618.0","162.0","539.0","464.0","75.0","247.0","191.0","56.0","9.0","129.0","81.0","48.0","9.0","9.0","-","46.0","39.0","7.0","26.0","22.0","4.0","74.0","33.0","41.0"
"　A～B 農林漁業_　　A 農業，林業_","177.0","2302.0","1616.0","686.0","-","-","-","-","-","-","557.0","512.0","45.0","1288.0","822.0","466.0","717.0","591.0","126.0","571.0","231.0","340.0","457.0","282.0","175.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","170.0","2197.0","1557.0","640.0","549.0","504.0","45.0","1265.0","804.0","461.0","699.0","575.0","124.0","383.0","249.0","134.0","82.0","946.0","489.0","457.0","123.0","91.0","32.0","683.0","336.0","347.0","284.0","223.0","61.0","140.0","62.0","78.0","81.0","941.0","485.0","456.0","122.0","90.0","32.0","679.0","333.0","346.0","281.0","220.0","61.0","140.0","62.0","78.0","1.0","5.0","4.0","1.0","1.0","1.0","-","4.0","3.0","1.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","88.0","1251.0","1068.0","183.0","426.0","413.0","13.0","582.0","468.0","114.0","415.0","352.0","63.0","243.0","187.0","56.0","7.0","105.0","59.0","46.0","8.0","8.0","-","23.0","18.0","5.0","18.0","16.0","2.0","74.0","33.0","41.0"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業","127.0","1510.0","875.0","635.0","-","-","-","-","-","-","342.0","305.0","37.0","888.0","462.0","426.0","403.0","309.0","94.0","485.0","153.0","332.0","280.0","108.0","172.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","122.0","1421.0","831.0","590.0","336.0","299.0","37.0","868.0","446.0","422.0","386.0","294.0","92.0","217.0","86.0","131.0","62.0","837.0","402.0","435.0","95.0","69.0","26.0","604.0","272.0","332.0","206.0","159.0","47.0","138.0","61.0","77.0","62.0","837.0","402.0","435.0","95.0","69.0","26.0","604.0","272.0","332.0","206.0","159.0","47.0","138.0","61.0","77.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","60.0","584.0","429.0","155.0","241.0","230.0","11.0","264.0","174.0","90.0","180.0","135.0","45.0","79.0","25.0","54.0","5.0","89.0","44.0","45.0","6.0","6.0","-","20.0","16.0","4.0","17.0","15.0","2.0","63.0","22.0","41.0"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業","50.0","792.0","741.0","51.0","-","-","-","-","-","-","215.0","207.0","8.0","400.0","360.0","40.0","314.0","282.0","32.0","86.0","78.0","8.0","177.0","174.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48.0","776.0","726.0","50.0","213.0","205.0","8.0","397.0","358.0","39.0","313.0","281.0","32.0","166.0","163.0","3.0","20.0","109.0","87.0","22.0","28.0","22.0","6.0","79.0","64.0","15.0","78.0","64.0","14.0","2.0","1.0","1.0","19.0","104.0","83.0","21.0","27.0","21.0","6.0","75.0","61.0","14.0","75.0","61.0","14.0","2.0","1.0","1.0","1.0","5.0","4.0","1.0","1.0","1.0","-","4.0","3.0","1.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.0","667.0","639.0","28.0","185.0","183.0","2.0","318.0","294.0","24.0","235.0","217.0","18.0","164.0","162.0","2.0","2.0","16.0","15.0","1.0","2.0","2.0","-","3.0","2.0","1.0","1.0","1.0","-","11.0","11.0","-"
"　A～B 農林漁業_　　B 漁業_","54.0","599.0","462.0","137.0","-","-","-","-","-","-","143.0","134.0","9.0","386.0","310.0","76.0","270.0","244.0","26.0","116.0","66.0","50.0","70.0","18.0","52.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","52.0","575.0","440.0","135.0","142.0","133.0","9.0","363.0","289.0","74.0","262.0","238.0","24.0","70.0","18.0","52.0","31.0","283.0","194.0","89.0","46.0","39.0","7.0","171.0","141.0","30.0","140.0","128.0","12.0","66.0","14.0","52.0","31.0","283.0","194.0","89.0","46.0","39.0","7.0","171.0","141.0","30.0","140.0","128.0","12.0","66.0","14.0","52.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.0","292.0","246.0","46.0","96.0","94.0","2.0","192.0","148.0","44.0","122.0","110.0","12.0","4.0","4.0","-","2.0","24.0","22.0","2.0","1.0","1.0","-","23.0","21.0","2.0","8.0","6.0","2.0","-","-","-"
"　A～B 農林漁業_　　B 漁業_　　　03 漁業(水産養殖業を除く)","15.0","218.0","181.0","37.0","-","-","-","-","-","-","46.0","43.0","3.0","142.0","129.0","13.0","123.0","111.0","12.0","19.0","18.0","1.0","30.0","9.0","21.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13.0","194.0","159.0","35.0","45.0","42.0","3.0","119.0","108.0","11.0","115.0","105.0","10.0","30.0","9.0","21.0","7.0","132.0","101.0","31.0","20.0","19.0","1.0","83.0","74.0","9.0","81.0","72.0","9.0","29.0","8.0","21.0","7.0","132.0","101.0","31.0","20.0","19.0","1.0","83.0","74.0","9.0","81.0","72.0","9.0","29.0","8.0","21.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.0","62.0","58.0","4.0","25.0","23.0","2.0","36.0","34.0","2.0","34.0","33.0","1.0","1.0","1.0","-","2.0","24.0","22.0","2.0","1.0","1.0","-","23.0","21.0","2.0","8.0","6.0","2.0","-","-","-"
"　A～B 農林漁業_　　B 漁業_　　　04 水産養殖業","39.0","381.0","281.0","100.0","-","-","-","-","-","-","97.0","91.0","6.0","244.0","181.0","63.0","147.0","133.0","14.0","97.0","48.0","49.0","40.0","9.0","31.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","39.0","381.0","281.0","100.0","97.0","91.0","6.0","244.0","181.0","63.0","147.0","133.0","14.0","40.0","9.0","31.0","24.0","151.0","93.0","58.0","26.0","20.0","6.0","88.0","67.0","21.0","59.0","56.0","3.0","37.0","6.0","31.0","24.0","151.0","93.0","58.0","26.0","20.0","6.0","88.0","67.0","21.0","59.0","56.0","3.0","37.0","6.0","31.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.0","230.0","188.0","42.0","71.0","71.0","-","156.0","114.0","42.0","88.0","77.0","11.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　@ 農業，林業，漁業 間格付不能_","7.0","18.0","10.0","8.0","-","-","-","-","-","-","6.0","6.0","-","10.0","4.0","6.0","6.0","4.0","2.0","4.0","-","4.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.0","18.0","10.0","8.0","6.0","6.0","-","10.0","4.0","6.0","6.0","4.0","2.0","2.0","-","2.0","1.0","8.0","4.0","4.0","2.0","2.0","-","4.0","2.0","2.0","4.0","2.0","2.0","2.0","-","2.0","1.0","8.0","4.0","4.0","2.0","2.0","-","4.0","2.0","2.0","4.0","2.0","2.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.0","10.0","6.0","4.0","4.0","4.0","-","6.0","2.0","4.0","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　　@Z 農業，林業，漁業 間格付不能_","7.0","18.0","10.0","8.0","-","-","-","-","-","-","6.0","6.0","-","10.0","4.0","6.0","6.0","4.0","2.0","4.0","-","4.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.0","18.0","10.0","8.0","6.0","6.0","-","10.0","4.0","6.0","6.0","4.0","2.0","2.0","-","2.0","1.0","8.0","4.0","4.0","2.0","2.0","-","4.0","2.0","2.0","4.0","2.0","2.0","2.0","-","2.0","1.0","8.0","4.0","4.0","2.0","2.0","-","4.0","2.0","2.0","4.0","2.0","2.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.0","10.0","6.0","4.0","4.0","4.0","-","6.0","2.0","4.0","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
