"産業中分類","総数(単独・本所・支所)_事業所数","総数(単独・本所・支所)_従業者数(人)","総数(単独・本所・支所)_売上(収入)金額(百万円)","単独事業所_事業所数","単独事業所_従業者数(人)","単独事業所_売上(収入)金額(百万円)","本所・本社・本店_事業所数","本所・本社・本店_従業者数(人)","本所・本社・本店_売上(収入)金額(百万円)","支所・支社・支店_事業所数","支所・支社・支店_従業者数(人)","支所・支社・支店_売上(収入)金額(百万円)"
"A 農業，林業_","144.0","1983.0","26215.0","106.0","1667.0","10057.0","7.0","134.0","X","31.0","182.0","X"
"A 農業，林業_　　　01 農業","100.0","1228.0","22950.0","69.0","971.0","7729.0","5.0","104.0","598.0","26.0","153.0","14623.0"
"A 農業，林業_　　　02 林業","44.0","755.0","3266.0","37.0","696.0","2329.0","2.0","30.0","X","5.0","29.0","X"
"B 漁業_","46.0","527.0","5092.0","38.0","395.0","X","-","-","-","8.0","132.0","X"
"B 漁業_　　　03 漁業(水産養殖業を除く)","11.0","169.0","940.0","11.0","169.0","940.0","-","-","-","-","-","-"
"B 漁業_　　　04 水産養殖業","35.0","358.0","4152.0","27.0","226.0","X","-","-","-","8.0","132.0","X"
"@ 農業，林業，漁業 間格付不能_","7.0","18.0","107.0","1.0","8.0","X","1.0","2.0","X","5.0","8.0","X"
"@Z 農業，林業，漁業 間格付不能_","7.0","18.0","107.0","1.0","8.0","X","1.0","2.0","X","5.0","8.0","X"
"C 鉱業，採石業，砂利採取業_","9.0","105.0","2706.0","5.0","59.0","1313.0","1.0","9.0","X","3.0","37.0","X"
"C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業","9.0","105.0","2706.0","5.0","59.0","1313.0","1.0","9.0","X","3.0","37.0","X"
"D 建設業_","4047.0","24092.0","...","3578.0","17840.0","264871.0","139.0","2925.0","...","330.0","3327.0","..."
"D 建設業_　　　06 総合工事業","2041.0","13620.0","...","1789.0","10538.0","187568.0","83.0","1997.0","...","169.0","1085.0","..."
"D 建設業_　　　07 職別工事業(設備工事業を除く)","1078.0","3952.0","...","1040.0","3640.0","32794.0","15.0","157.0","...","23.0","155.0","..."
