"市町村","総数_事業所数（事業内容等不詳を含む）","総数_事業所数","総数_従業者数（注）","総数_従業者数（注）_男","総数_従業者数（注）_女","個人_事業所数","個人_従業者数（注）","個人_従業者数（注）_男","個人_従業者数（注）_女","法人_事業所数","法人_従業者数（注）","法人_従業者数（注）_男","法人_従業者数（注）_女","法人_会社_事業所数","法人_会社_従業者数（注）","法人_会社_従業者数（注）_男","法人_会社_従業者数（注）_女","法人_会社以外の法人_事業所数","法人_会社以外の法人_従業者数（注）","法人_会社以外の法人_従業者数（注）_男","法人_会社以外の法人_従業者数（注）_女","法人でない団体_事業所数","法人でない団体_従業者数（注）","法人でない団体_従業者数（注）_男","法人でない団体_従業者数（注）_女","１事業所当たり従業者数"
"和歌山県計","51133.0","49196.0","376733.0","200712.0","175518.0","27879.0","81007.0","37591.0","43401.0","21053.0","294518.0","162603.0","131427.0","16912.0","232392.0","137927.0","93979.0","4141.0","62126.0","24676.0","37448.0","264.0","1208.0","518.0","690.0","7.657797381900967"
"和歌山市","17476.0","16441.0","160120.0","87376.0","72579.0","7639.0","23042.0","10016.0","13011.0","8738.0","136864.0","77271.0","59443.0","7386.0","111748.0","67907.0","43691.0","1352.0","25116.0","9364.0","15752.0","64.0","214.0","89.0","125.0","9.739066966729517"
"海南市","2949.0","2895.0","22364.0","12607.0","9732.0","1655.0","4714.0","2171.0","2543.0","1223.0","17580.0","10381.0","7174.0","964.0","14184.0","9095.0","5064.0","259.0","3396.0","1286.0","2110.0","17.0","70.0","55.0","15.0","7.7250431778929185"
"橋本市","2715.0","2619.0","18037.0","8415.0","9568.0","1602.0","4895.0","2179.0","2716.0","998.0","12997.0","6168.0","6775.0","798.0","9894.0","5023.0","4817.0","200.0","3103.0","1145.0","1958.0","19.0","145.0","68.0","77.0","6.886979763268423"
"有田市","1824.0","1795.0","10994.0","6011.0","4961.0","1257.0","3555.0","1752.0","1803.0","531.0","7427.0","4255.0","3150.0","441.0","6499.0","3857.0","2620.0","90.0","928.0","398.0","530.0","7.0","12.0","4.0","8.0","6.124791086350975"
"御坊市","2011.0","1965.0","12087.0","6113.0","5944.0","1227.0","3624.0","1602.0","2022.0","725.0","8436.0","4501.0","3905.0","574.0","6579.0","3706.0","2843.0","151.0","1857.0","795.0","1062.0","13.0","27.0","10.0","17.0","6.151145038167939"
"田辺市","5456.0","5349.0","32170.0","16489.0","15544.0","3226.0","9221.0","4384.0","4837.0","2081.0","22694.0","11989.0","10568.0","1656.0","17618.0","9779.0","7704.0","425.0","5076.0","2210.0","2864.0","42.0","255.0","116.0","139.0","6.014208263226771"
"新宮市","2605.0","2520.0","14660.0","7435.0","7207.0","1581.0","4548.0","2017.0","2531.0","930.0","10082.0","5403.0","4661.0","764.0","8097.0","4651.0","3428.0","166.0","1985.0","752.0","1233.0","9.0","30.0","15.0","15.0","5.817460317460317"
"紀の川市","2461.0","2363.0","19475.0","10672.0","8758.0","1314.0","3883.0","1794.0","2089.0","1042.0","15560.0","8867.0","6648.0","803.0","11918.0","7463.0","4410.0","239.0","3642.0","1404.0","2238.0","7.0","32.0","11.0","21.0","8.24164198053322"
"岩出市","1522.0","1433.0","13288.0","5734.0","7554.0","676.0","2329.0","987.0","1342.0","754.0","10950.0","4743.0","6207.0","666.0","9080.0","4169.0","4911.0","88.0","1870.0","574.0","1296.0","3.0","9.0","4.0","5.0","9.272854152128401"
