"産業小分類","事　　業　　所　　数_総　数","事　　業　　所　　数_総　数_存続事業所","事　　業　　所　　数_総　数_新設事業所","事　　業　　所　　数_総　数廃業事業所","従　　業　　者　　数_総　　数","従　　業　　者　　数_総　　数_男","従　　業　　者　　数_総　　数_女","従　　業　　者　　数_総　　数_存続事業所","従　　業　　者　　数_総　　数_存続事業所男","従　　業　　者　　数_総　　数_存続事業所女","従　　業　　者　　数_総　　数_新設事業所","従　　業　　者　　数_総　　数_新設事業所男","従　　業　　者　　数_総　　数_新設事業所女","従　　業　　者　　数_廃業事業所","従　　業　　者　　数_廃業事業所_男","従　　業　　者　　数_廃業事業所_女"
"A～R 全産業(S公務を除く)_","49196.0","47133.0","2063.0","7673.0","376733.0","200712.0","175518.0","360529.0","193136.0","166916.0","16204.0","7576.0","8602.0","36699.0","18984.0","17715.0"
"　A～B 農林漁業_","238.0","226.0","12.0","46.0","2919.0","2088.0","831.0","2769.0","2024.0","745.0","150.0","64.0","86.0","462.0","262.0","200.0"
"　A～B 農林漁業_　　A 農業，林業_","177.0","167.0","10.0","33.0","2302.0","1616.0","686.0","2161.0","1560.0","601.0","141.0","56.0","85.0","380.0","208.0","172.0"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業_","127.0","118.0","9.0","26.0","1510.0","875.0","635.0","1370.0","820.0","550.0","140.0","55.0","85.0","332.0","163.0","169.0"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業_　　　　010 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","9.0","4.0","5.0","9.0","4.0","5.0","-","-","-","-","-","-"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業_　　　　011 耕種農業","55.0","50.0","5.0","8.0","847.0","352.0","495.0","735.0","316.0","419.0","112.0","36.0","76.0","119.0","39.0","80.0"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業_　　　　012 畜産農業","16.0","15.0","1.0","5.0","153.0","100.0","53.0","149.0","98.0","51.0","4.0","2.0","2.0","44.0","28.0","16.0"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業_　　　　013 農業サービス業(園芸サービス業を除く)","49.0","46.0","3.0","10.0","452.0","372.0","80.0","428.0","355.0","73.0","24.0","17.0","7.0","153.0","82.0","71.0"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業_　　　　014 園芸サービス業","5.0","5.0","-","3.0","49.0","47.0","2.0","49.0","47.0","2.0","-","-","-","16.0","14.0","2.0"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業_","50.0","49.0","1.0","7.0","792.0","741.0","51.0","791.0","740.0","51.0","1.0","1.0","-","48.0","45.0","3.0"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業_　　　　020 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業_　　　　021 育林業","18.0","17.0","1.0","4.0","60.0","53.0","7.0","59.0","52.0","7.0","1.0","1.0","-","11.0","8.0","3.0"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業_　　　　022 素材生産業","5.0","5.0","-","1.0","33.0","26.0","7.0","33.0","26.0","7.0","-","-","-","1.0","1.0","-"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業_　　　　023 特用林産物生産業(きのこ類の栽培を除く)","1.0","1.0","-","-","4.0","4.0","-","4.0","4.0","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業_　　　　024 林業サービス業","26.0","26.0","-","2.0","695.0","658.0","37.0","695.0","658.0","37.0","-","-","-","36.0","36.0","-"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業_　　　　029 その他の林業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_","54.0","52.0","2.0","13.0","599.0","462.0","137.0","590.0","454.0","136.0","9.0","8.0","1.0","82.0","54.0","28.0"
"　A～B 農林漁業_　　B 漁業_　　　03 漁業(水産養殖業を除く)_","15.0","14.0","1.0","4.0","218.0","181.0","37.0","210.0","173.0","37.0","8.0","8.0","-","11.0","10.0","1.0"
"　A～B 農林漁業_　　B 漁業_　　　03 漁業(水産養殖業を除く)_　　　　030 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_　　　03 漁業(水産養殖業を除く)_　　　　031 海面漁業","13.0","12.0","1.0","4.0","206.0","169.0","37.0","198.0","161.0","37.0","8.0","8.0","-","11.0","10.0","1.0"
"　A～B 農林漁業_　　B 漁業_　　　03 漁業(水産養殖業を除く)_　　　　032 内水面漁業","2.0","2.0","-","-","12.0","12.0","-","12.0","12.0","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_　　　04 水産養殖業_","39.0","38.0","1.0","9.0","381.0","281.0","100.0","380.0","281.0","99.0","1.0","-","1.0","71.0","44.0","27.0"
"　A～B 農林漁業_　　B 漁業_　　　04 水産養殖業_　　　　040 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_　　　04 水産養殖業_　　　　041 海面養殖業","23.0","22.0","1.0","6.0","214.0","162.0","52.0","213.0","162.0","51.0","1.0","-","1.0","42.0","33.0","9.0"
"　A～B 農林漁業_　　B 漁業_　　　04 水産養殖業_　　　　042 内水面養殖業","16.0","16.0","-","3.0","167.0","119.0","48.0","167.0","119.0","48.0","-","-","-","29.0","11.0","18.0"
"　A～B 農林漁業_　　@ 農業，林業，漁業 間格付不能_","7.0","7.0","-","-","18.0","10.0","8.0","18.0","10.0","8.0","-","-","-","-","-","-"
"　A～B 農林漁業_　　　@Z 農業，林業，漁業 間格付不能_","7.0","7.0","-","-","18.0","10.0","8.0","18.0","10.0","8.0","-","-","-","-","-","-"
"　A～B 農林漁業_　　　　@ZZ 農業，林業，漁業 間格付不能_","7.0","7.0","-","-","18.0","10.0","8.0","18.0","10.0","8.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_","48958.0","46907.0","2051.0","7627.0","373814.0","198624.0","174687.0","357760.0","191112.0","166171.0","16054.0","7512.0","8516.0","36237.0","18722.0","17515.0"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_","9.0","9.0","-","2.0","105.0","90.0","15.0","105.0","90.0","15.0","-","-","-","10.0","8.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_","9.0","9.0","-","2.0","105.0","90.0","15.0","105.0","90.0","15.0","-","-","-","10.0","8.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　050 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","9.0","9.0","-","9.0","9.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　051 金属鉱業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
