"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女","法人_会社以外の法人_事業所数","法人_会社以外の法人_従業者数(注)","法人_会社以外の法人_従業者数(注)_男","法人_会社以外の法人_従業者数(注)_女","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_男","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_うち常用雇用者(注)","法人でない団体_従業者数(注)_うち常用雇用者(注)_男","法人でない団体_従業者数(注)_うち常用雇用者(注)_女"
"A～R 全産業(S公務を除く)","49196.0","376733.0","200712.0","175518.0","289024.0","150440.0","138177.0","27879.0","81007.0","37591.0","43401.0","36676.0","13188.0","23477.0","21053.0","294518.0","162603.0","131427.0","251570.0","136965.0","114209.0","16912.0","232392.0","137927.0","93979.0","198582.0","117631.0","80557.0","4141.0","62126.0","24676.0","37448.0","52988.0","19334.0","33652.0","264.0","1208.0","518.0","690.0","778.0","287.0","491.0"
"A～R 全産業(S公務を除く)__1～4人","32042.0","67047.0","34086.0","32947.0","25121.0","10149.0","14962.0","23505.0","46358.0","22739.0","23617.0","12540.0","4207.0","8333.0","8357.0","20364.0","11221.0","9131.0","12340.0","5863.0","6467.0","6290.0","16323.0","9022.0","7291.0","9935.0","4954.0","4973.0","2067.0","4041.0","2199.0","1840.0","2405.0","909.0","1494.0","180.0","325.0","126.0","199.0","241.0","79.0","162.0"
"A～R 全産業(S公務を除く)__5～9人","8885.0","57803.0","30200.0","27559.0","40803.0","19977.0","20784.0","3503.0","21836.0","9505.0","12318.0","14116.0","5074.0","9031.0","5340.0","35683.0","20572.0","15080.0","26479.0","14829.0","11619.0","4622.0","30869.0","18333.0","12505.0","22587.0","13150.0","9406.0","718.0","4814.0","2239.0","2575.0","3892.0","1679.0","2213.0","42.0","284.0","123.0","161.0","208.0","74.0","134.0"
"A～R 全産業(S公務を除く)__10～19人","4559.0","60712.0","33209.0","27430.0","49571.0","26704.0","22794.0","739.0","9414.0","3905.0","5509.0","7183.0","2735.0","4448.0","3795.0","50966.0","29123.0","21770.0","42190.0","23869.0","18248.0","3191.0","42925.0","25657.0","17195.0","35670.0","21275.0","14322.0","604.0","8041.0","3466.0","4575.0","6520.0","2594.0","3926.0","25.0","332.0","181.0","151.0","198.0","100.0","98.0"
"A～R 全産業(S公務を除く)__20～29人","1472.0","34936.0","18355.0","16363.0","30363.0","15776.0","14369.0","100.0","2297.0","994.0","1303.0","2000.0","861.0","1139.0","1365.0","32471.0","17312.0","14941.0","28270.0","14888.0","13164.0","1140.0","27084.0","15335.0","11531.0","23746.0","13397.0","10131.0","225.0","5387.0","1977.0","3410.0","4524.0","1491.0","3033.0","7.0","168.0","49.0","119.0","93.0","27.0","66.0"
"A～R 全産業(S公務を除く)__30～49人","1059.0","39707.0","21108.0","18535.0","35396.0","18638.0","16694.0","23.0","763.0","342.0","421.0","565.0","241.0","324.0","1033.0","38845.0","20727.0","18054.0","34793.0","18390.0","16339.0","818.0","30711.0","17454.0","13193.0","27852.0","15837.0","11951.0","215.0","8134.0","3273.0","4861.0","6941.0","2553.0","4388.0","3.0","99.0","39.0","60.0","38.0","7.0","31.0"
"A～R 全産業(S公務を除く)__50～99人","687.0","47037.0","24483.0","22464.0","43142.0","22345.0","20797.0","5.0","339.0","106.0","233.0","272.0","70.0","202.0","682.0","46698.0","24377.0","22231.0","42870.0","22275.0","20595.0","512.0","34651.0","19809.0","14752.0","31792.0","18270.0","13522.0","170.0","12047.0","4568.0","7479.0","11078.0","4005.0","7073.0","-","-","-","-","-","-","-"
"A～R 全産業(S公務を除く)__100人以上","330.0","69491.0","39271.0","30220.0","64628.0","36851.0","27777.0","-","-","-","-","-","-","-","330.0","69491.0","39271.0","30220.0","64628.0","36851.0","27777.0","236.0","49829.0","32317.0","17512.0","47000.0","30748.0","16252.0","94.0","19662.0","6954.0","12708.0","17628.0","6103.0","11525.0","-","-","-","-","-","-","-"
"A～R 全産業(S公務を除く)__出向・派遣従業者のみ","162.0","-","-","-","-","-","-","4.0","-","-","-","-","-","-","151.0","-","-","-","-","-","-","103.0","-","-","-","-","-","-","48.0","-","-","-","-","-","-","7.0","-","-","-","-","-","-"
"A～R 全産業(S公務を除く)__(再掲)5人以下","34845.0","81062.0","41184.0","39864.0","34303.0","14297.0","19996.0","24862.0","53143.0","25787.0","27354.0","16551.0","5648.0","10903.0","9792.0","27539.0","15251.0","12276.0","17466.0","8555.0","8901.0","7531.0","22528.0","12573.0","9945.0","14269.0","7287.0","6974.0","2261.0","5011.0","2678.0","2331.0","3197.0","1268.0","1927.0","191.0","380.0","146.0","234.0","286.0","94.0","192.0"
