"市町村","合計_事業所数","合計_従業者数_（人）","合計_年間商品販 売 額_（百万円）","合計_商品手持額_（百万円）","卸売業計　_事業所数","卸売業計　_従業者数_（人）","卸売業計　_年間商品販 売 額_（百万円）","卸売業計　_商品手持額_（百万円）","小売業計_事業所数","小売業計_従業者数_(人)","小売業計_年間商品販 売 額_(百万円)","小売業計_商品手持額_(百万円)","小売業計_売場面積_(㎡)"
"計","10904.0","60782.0","1708937.0","122089.0","2121.0","15158.0","920207.0","43819.0","8783.0","45624.0","788729.0","78270.0","1143450.0"
"201　和　歌　山　市","3293.0","23922.0","898993.0","56969.0","847.0","7580.0","573191.0","20793.0","2446.0","16342.0","325801.0","36176.0","417572.0"
"202　海　　南　　市","653.0","3513.0","84234.0","11916.0","156.0","1224.0","51263.0","8541.0","497.0","2289.0","32970.0","3375.0","49158.0"
"203　橋　　本　　市","557.0","3303.0","68870.0","5086.0","71.0","368.0","17108.0","744.0","486.0","2935.0","51761.0","4342.0","81196.0"
"204　有　　田　　市","417.0","1740.0","31271.0","2376.0","66.0","411.0","14521.0","618.0","351.0","1329.0","16750.0","1758.0","32907.0"
"205　御　　坊　　市","499.0","2641.0","45396.0","3852.0","79.0","501.0","12817.0","503.0","420.0","2140.0","32580.0","3349.0","56365.0"
"206　田　　辺　　市","1223.0","5869.0","162948.0","11117.0","270.0","1532.0","83439.0","3902.0","953.0","4337.0","79508.0","7216.0","99853.0"
"207　新　　宮　　市","601.0","3288.0","78554.0","6782.0","120.0","787.0","32717.0","2441.0","481.0","2501.0","45837.0","4341.0","75961.0"
"208　紀　の　川　市","528.0","2875.0","86267.0","5364.0","86.0","687.0","52164.0","2629.0","442.0","2188.0","34103.0","2735.0","59746.0"
"209　岩　　出　　市","274.0","2447.0","52713.0","4385.0","32.0","210.0","7685.0","449.0","242.0","2237.0","45029.0","3936.0","69490.0"
"304　紀　美　野　町","154.0","396.0","7521.0","780.0","15.0","41.0","5256.0","515.0","139.0","355.0","2264.0","266.0","4777.0"
"341　か つ ら ぎ 町","199.0","872.0","14804.0","801.0","21.0","122.0","5564.0","77.0","178.0","750.0","9240.0","724.0","18275.0"
"343　九　度　山　町","51.0","221.0","1191.0","137.0","3.0","7.0","66.0","23.0","48.0","214.0","1125.0","114.0","2322.0"
"344　高　　野　　町","102.0","319.0","2759.0","388.0","-","-","-","-","102.0","319.0","2759.0","388.0","4888.0"
"361　湯　　浅　　町","233.0","857.0","13563.0","1453.0","35.0","195.0","5542.0","411.0","198.0","662.0","8021.0","1042.0","13856.0"
"362　広　　川　　町","73.0","254.0","3853.0","275.0","14.0","75.0","1881.0","126.0","59.0","179.0","1971.0","149.0","4676.0"
"366　有　田　川　町","384.0","1635.0","32457.0","2417.0","48.0","305.0","12723.0","498.0","336.0","1330.0","19735.0","1919.0","36088.0"
"381　美　　浜　　町","59.0","158.0","4026.0","322.0","7.0","34.0","2978.0","128.0","52.0","124.0","1048.0","194.0","3327.0"
"382　日　　高　　町","63.0","269.0","4063.0","281.0","17.0","65.0","1309.0","104.0","46.0","204.0","2754.0","178.0","10510.0"
"383　由　　良　　町","85.0","297.0","5668.0","277.0","18.0","80.0","3097.0","119.0","67.0","217.0","2571.0","158.0","3476.0"
"390　印　　南　　町","96.0","313.0","5395.0","450.0","14.0","58.0","1321.0","66.0","82.0","255.0","4073.0","384.0","4093.0"
"391　み　な　べ　町","195.0","819.0","15777.0","1282.0","44.0","196.0","5796.0","471.0","151.0","623.0","9982.0","811.0","11620.0"
"392　日　高　川　町","85.0","266.0","3111.0","131.0","3.0","6.0","67.0","3.0","82.0","260.0","3045.0","128.0","5271.0"
"401　白　　浜　　町","215.0","1028.0","20350.0","1317.0","26.0","121.0","4933.0","67.0","189.0","907.0","15416.0","1251.0","20358.0"
"404　上　富　田　町","130.0","747.0","14416.0","830.0","26.0","90.0","1668.0","97.0","104.0","657.0","12749.0","734.0","17130.0"
"406　す　さ　み　町","69.0","209.0","2224.0","134.0","8.0","26.0","624.0","28.0","61.0","183.0","1600.0","106.0","2419.0"
"421　那 智 勝 浦 町","287.0","1071.0","29411.0","1387.0","57.0","256.0","18340.0","246.0","230.0","815.0","11071.0","1141.0","14093.0"
"422　太　　地　　町","36.0","115.0","1046.0","45.0","3.0","6.0","X","X","33.0","109.0","X","X","1107.0"
"424　古　座　川　町","37.0","106.0","933.0","46.0","1.0","1.0","X","X","36.0","105.0","X","X","1119.0"
"427　北　　山　　村","8.0","13.0","31.0","2.0","1.0","2.0","X","X","7.0","11.0","X","X","110.0"
"428　串　　本　　町","298.0","1219.0","17092.0","1485.0","33.0","172.0","4017.0","213.0","265.0","1047.0","13075.0","1272.0","21687.0"
